id,district,block,phc
706,NAGAON,SAMAGURI,SAMAGURI PHC
707,NAGAON,SAMAGURI,PURANIGUDAM SD
708,NAGAON,SAMAGURI,RUPAHI SD
709,NAGAON,SAMAGURI,CHAPANALA SD
710,NAGAON,SAMAGURI,UDMARI SD
711,NAGAON,SAMAGURI,SINGIA SAMAGURI SD / New PHC
712,NAGAON,SAMAGURI,HALOAGAON MPHC
713,NAGAON,DHING,DHING PHC
714,NAGAON,DHING,BATADRAWA MPHC
715,NAGAON,DHING,BECHAMARI MPHC
716,NAGAON,DHING,UPPER DOOMDUMIA MPHC
717,NAGAON,DHING,AHOMGAON SD
718,NAGAON,DHING,KATAHGURI NPHC
719,NAGAON,DHING,KANDHULIMARI RPHC
720,NAGAON,KATHIATOLI,JAMUNAMUKH MPHC
721,NAGAON,KATHIATOLI,GARUKHUNDA SHC
722,NAGAON,KATHIATOLI,KATHIATOLI PHC
723,NAGAON,KATHIATOLI,KACHUA SD
724,NAGAON,KATHIATOLI,NONOI SD
725,NAGAON,KATHIATOLI,SINGIPUTANI MPHC
726,NAGAON,KATHIATOLI,BARHAMPUR SD
727,NAGAON,KATHIATOLI,KARAIYANI MPHC
728,NAGAON,KATHIATOLI,SINGIMARI SD
729,NAGAON,KATHIATOLI,Pub Kampur SD
730,NAGAON,Simonabasti,simonabasti
731,NAGAON,Simonabasti,PANIGAON
732,NAGAON,Simonabasti,KUWARITOL
733,NAGAON,Singimari,SINGIMARI PHC
734,NAGAON,Singimari,LAOKHOWA SHC
735,NAGAON,Singimari,AMBAGAN SD
736,NAGAON,Singimari,Kathpara MPHC
737,NAGAON,Singimari,TARABARI MPHC
738,NAGAON,Singimari,LORIMUKH MPHC
739,NAGAON,Singimari,BHURBANDHA RPHC
740,NAGAON,Singimari,BHOGAMUKH
741,NAGAON,Singimari,BHATIAKHALI MPHC
742,NAGAON,Singimari,GARAJAN SD
743,NAGAON,BARAPUJIA,MAHADEOSAL SHC 
744,NAGAON,BARAPUJIA,PHULUGURI SD 
745,NAGAON,BARAPUJIA,MOHGORH MPHC
746,NAGAON,BARAPUJIA,BARAPUJIA PHC
747,NAGAON,BARAPUJIA,RAHA SHC
748,NAGAON,BARAPUJIA,BAGALAJAN SD
749,NAGAON,BARAPUJIA,LAOPNAI SD
750,NAGAON,BARAPUJIA,GHAHI MPHC
751,NAGAON,BARAPUJIA,AMSOI SD
752,NAGAON,DAGAON,Dagaon PHC
753,NAGAON,DAGAON,Balikatia SD
754,NAGAON,DAGAON,Juria MPHC
755,NAGAON,DAGAON,Jengani Koladoba Riverine PHC
756,NAGAON,DAGAON,Arimari Char Riverine PHC
757,NAGAON,Singimari,No.6 Bhugmukh Char
758,NAGAON,Barapujia,Hatbar SC
759,NAGAON,KATHIATOLI,Nibukali PHC (Kandoli)
760,NAGAON,KATHIATOLI,"Lutumari (Longjap, Kathiatali)"
761,NAGAON,BURAGOHAITHAN,Haldhiati (Jajori Majgaon)
762,NAGAON,SAMAGURI,Khalihamari (under Bajigaon Dev. Block)
763,NALBARI,Kamarkuchi BPHC,Kamarkuchi PHC
764,NALBARI,Kamarkuchi BPHC,Karia-Bijulighat MPHC
765,NALBARI,Kamarkuchi BPHC,Marowa MPHC
766,NALBARI,Kamarkuchi BPHC,Burinagar MPHC
767,NALBARI,Kamarkuchi BPHC,Harimandir PHC
768,NALBARI,Kamarkuchi BPHC,Banekuchi MPHC
769,NALBARI,Kamarkuchi BPHC,Nankarbhira SHC
770,NALBARI,Kamarkuchi BPHC,Hati Namti SD
